202211040044,003,类  ,1
202211040044,011,类  ,1
202411040550,001,继承  ,0
202411040550,011,类  ,1
202211040044,001,继承  ,0
202211040044,011,类  ,1
202211040044,001,继承  ,0
202211040044,011,类  ,1
202211040044,001,继承  ,0
202211040044,011,类  ,1
202211040044,001,继承  ,0
202211040044,011,类  ,1
202211040044,019,关键字  ,1
202211040044,019,关键字  ,1
1234,019,关键字  ,1
1234,001,继承  ,0
1234,004,运算符  ,0
1234,001,继承  ,0
1234,004,运算符  ,1
1234,001,继承  ,0
1234,004,运算符  ,0
1234,001,继承  ,0
1234,027,循环  ,0
1234,025,循环  ,1
1234,001,继承  ,1
1234,027,循环  ,1
1234,025,循环  ,1
1234,027,循环  ,1
1234,003,类  ,1
1234,025,循环  ,1
1234,027,循环  ,1
1234,003,类  ,1
1234,025,循环  ,1
1234,033,神经,0
1234,033,神经,0
1234,033,神经,0
1234,033,神经,0
1234,023,类型  ,1
1234,031,继承,1
1234,032,大撒比,1
1234,003,类  ,1
1234,008,类  ,0
1234,003,类  ,0
1234,008,类  ,1
1234,003,类  ,1
1234,008,类  ,1
1234,003,类  ,1
1234,008,类  ,1
1234,003,类  ,1
1234,008,类  ,1
1234,008,类  ,1
1234,003,类  ,1
